BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_LT_12,AVE_MO_EN_PA_LT_12,AVE_PA_PAY_PA_LT_12,AVE_IP_PAY_PA_LT_12,AVE_SNF_PAY_PA_LT_12,AVE_OTH_PAY_PA_LT_12,AVE_IP_ADM_PA_LT_12,AVE_SNF_DAYS_PA_LT_12,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_LT_12,AVE_MO_EN_PB_LT_12,AVE_PB_PAY_PB_LT_12,AVE_CA_PAY_PB_LT_12,AVE_OP_PAY_PB_LT_12,AVE_OTH_PAY_PB_LT_12,AVE_CA_VST_PB_LT_12,AVE_OP_VST_PB_LT_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_LT_12,AVE_MO_EN_PC_LT_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_LT_12,AVE_MO_EN_PD_LT_12,AVE_PDE_CST_PD_LT_12,AVE_PDE_PD_LT_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12
1,1,,,1,1,,,1,0,,1,,1,0,46,7.109,38664,32857,,,2.522,,164,37569,32177,3990,1402,2.47,9.341,46,7.109,19819,10805,5560,3454,7.978,8.761,164,19861,10162,6026,3673,14.335,11.378,,,,,,,,80,4954,75.85
1,1,,,1,1,,,1,0,,1,,1,1,48,8.229,75361,62269,9925,3167,3.396,24.458,231,57503,46844,9081,1578,3.346,24.671,49,8.245,21853,12948,5785,3120,5.898,7.204,230,26732,13451,8825,4456,12.1,15.183,,,,40,7.05,5094,45.5,240,10849,111.346
1,1,,,1,1,,,1,1,,0,,1,0,71,8.028,83436,75971,4928,2537,4.521,14.366,239,56156,49827,3741,2588,3.628,9.9,73,8.041,29570,16715,10655,2200,9.329,14.918,236,33966,16360,12958,4648,16.78,15.784,,,,53,7.151,2202,36.075,90,7027,75.333
1,1,,,1,1,,,1,1,,0,,1,1,102,7.324,80254,70625,8085,1544,4.314,25.147,238,81575,69284,10701,1590,4.517,28.223,104,7.288,25876,15967,7335,2574,6.077,10.577,235,39322,20474,14919,3929,13.949,18.132,,,,115,7.296,4374,57.096,226,9592,109.606
1,1,,,1,1,,,1,1,,1,,1,0,31,6.355,73497,64052,5520,3925,4.129,15.419,152,55227,47137,6305,1785,3.401,13.395,31,6.355,29484,18684,8695,2105,10.065,9.161,152,31471,17463,9566,4442,22.411,13.125,,,,,,,,70,6908,85.214
1,1,,,1,1,,,1,1,,1,,1,1,45,8.8,72349,62141,6993,3215,4.156,19.444,213,64938,53834,9303,1801,3.892,25.061,45,8.8,31663,17171,9932,4560,12.378,13.2,213,39682,20047,12673,6962,18.15,16.793,,,,42,8.238,7622,75.524,217,10798,120.889
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,237492,6.165,303,215,6,82,0.022,0.014,982758,290,256,8,26,0.032,0.019,235978,5.78,390,193,137,60,0.735,0.464,637117,890,473,278,139,1.948,1.127,64552,6.422,339852,110137,5.812,970,11.346,516476,2480,29.415
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,108966,7.339,828,672,30,126,0.064,0.079,613282,913,843,36,34,0.092,0.095,127771,7.073,855,407,306,142,1.268,1.291,581822,1688,829,564,295,2.957,2.786,40727,6.479,159910,123390,5.798,1158,10.218,753223,3479,28.795
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,844,7.335,7479,6933,273,273,0.519,0.526,4265,3536,3109,229,198,0.36,0.453,908,7.194,2988,1691,1000,297,3.521,2.431,4024,3064,1640,980,444,6.07,3.872,153,6.124,113,499,6.305,1171,16.499,1685,2751,33.657
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,751,7.774,9371,8098,811,462,0.531,1.722,3982,7164,5990,893,281,0.509,2.19,840,7.715,4425,2234,1647,544,3.546,4.042,3865,5242,2629,1753,860,6.105,6.118,218,5.601,90,831,6.463,1566,20.894,3963,3979,43.839
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3416,8.46,1888,1647,75,166,0.162,0.17,37329,1487,1317,66,104,0.142,0.147,4140,8.045,2142,1354,562,226,4.416,2.048,36156,3145,1978,851,316,7.099,3.109,1201,6.948,2187,2667,6.433,1198,15.815,16427,2876,34.996
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3004,9.37,2166,1843,129,194,0.166,0.309,30571,2085,1763,199,123,0.175,0.464,3483,9.043,2962,1736,760,466,4.828,3.158,30015,4257,2338,1301,618,7.549,4.876,1540,5.932,1279,2897,6.896,1702,20.193,31795,3900,41.163
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,382,4137,3405,418,314,0.351,1.089,,,,,,,,,378,4702,2773,1127,802,9.638,4.294,,,,32,6.375,744,17.438,156,2831,37.987
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,42,9.952,12345,,,,,,364,7384,5526,1435,423,0.552,3.769,43,9.791,5328,3452,,,6.605,,363,7461,3797,1847,1817,9.036,7.072,,,,36,8.333,2068,31.694,368,3848,49.563
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,522,7.554,1725,1346,,,0.172,,4391,1954,1730,120,104,0.169,0.306,622,7.31,2740,1442,801,497,4.32,2.465,4229,4266,2117,1361,788,7.257,4.03,113,6.363,119,367,6.417,2320,17.684,1902,5635,37.722
